Node,X,Y,Z,Imperfection
1.0,14.966503100000002,1.0018894700000027,30.0,0.0
2.0,14.866162300000001,1.9993042900000026,30.0,0.0
3.0,14.699425700000003,2.9877898700000025,30.0,0.0
4.0,14.467037200000002,3.9629309200000025,30.0,0.0
5.0,14.170036300000001,4.920372960000003,30.0,0.0
6.0,13.809748600000002,5.8558392500000025,30.0,0.0
7.0,13.387782100000003,6.765151980000002,30.0,0.0
8.0,12.906024000000002,7.644249440000003,30.0,0.0
9.0,12.366623900000002,8.489206310000002,30.0,0.0
10.0,11.771990800000001,9.296248440000001,30.0,0.0
11.0,11.124781600000002,10.061771400000001,30.0,0.0
12.0,10.427886000000003,10.782355300000003,30.0,0.0
13.0,9.684417720000003,11.454782500000002,30.0,0.0
14.0,8.897696500000002,12.076050800000003,30.0,0.0
15.0,8.071235660000001,12.643384000000001,30.0,0.0
16.0,7.208726410000001,13.154249200000002,30.0,0.0
17.0,6.314021590000001,13.606363300000002,30.0,0.0
18.0,5.391116620000001,13.997709300000002,30.0,0.0
19.0,4.444133760000001,14.326537100000001,30.0,0.0
20.0,3.4773023100000007,14.591380100000002,30.0,0.0
21.0,2.4949402800000007,14.791053800000002,30.0,0.0
22.0,1.501435400000001,14.924667400000002,30.0,0.0
23.0,0.501224637000001,14.991623900000002,30.0,0.0
24.0,-0.501224636999999,14.991623900000002,30.0,0.0
25.0,-1.5014353999999992,14.924667400000002,30.0,0.0
26.0,-2.494940279999999,14.791053800000002,30.0,0.0
27.0,-3.477302309999999,14.591380100000002,30.0,0.0
28.0,-4.444133759999999,14.326537100000001,30.0,0.0
29.0,-5.391116619999999,13.997709300000002,30.0,0.0
30.0,-6.314021589999999,13.606363300000002,30.0,0.0
31.0,-7.208726409999999,13.154249200000002,30.0,0.0
32.0,-8.071235659999997,12.643384000000001,30.0,0.0
33.0,-8.897696499999999,12.076050800000003,30.0,0.0
34.0,-9.684417719999999,11.454782500000002,30.0,0.0
35.0,-10.427885999999999,10.782355300000003,30.0,0.0
36.0,-11.124781599999999,10.061771400000001,30.0,0.0
37.0,-11.771990799999998,9.296248440000001,30.0,0.0
38.0,-12.366623899999999,8.489206310000002,30.0,0.0
39.0,-12.906023999999999,7.644249440000001,30.0,0.0
40.0,-13.387782099999999,6.765151980000001,30.0,0.0
41.0,-13.809748599999999,5.855839250000001,30.0,0.0
42.0,-14.170036299999998,4.920372960000001,30.0,0.0
43.0,-14.467037199999998,3.9629309200000007,30.0,0.0
44.0,-14.699425699999999,2.9877898700000007,30.0,0.0
45.0,-14.866162299999997,1.9993042900000009,30.0,0.0
46.0,-14.966503099999999,1.001889470000001,30.0,0.0
47.0,-14.999999999999998,9.18485099360515e-16,30.0,0.0
48.0,-14.966503099999999,-1.0018894699999992,30.0,0.0
49.0,-14.866162299999997,-1.999304289999999,30.0,0.0
50.0,-14.699425699999999,-2.987789869999999,30.0,0.0
51.0,-14.467037199999998,-3.962930919999999,30.0,0.0
52.0,-14.170036299999998,-4.920372959999999,30.0,0.0
53.0,-13.809748599999999,-5.855839249999999,30.0,0.0
54.0,-13.387782099999999,-6.765151979999999,30.0,0.0
55.0,-12.906023999999999,-7.644249439999999,30.0,0.0
56.0,-12.366623899999999,-8.489206309999998,30.0,0.0
57.0,-11.771990799999998,-9.296248439999998,30.0,0.0
58.0,-11.124781599999999,-10.061771399999998,30.0,0.0
59.0,-10.427885999999999,-10.782355299999999,30.0,0.0
60.0,-9.684417719999999,-11.454782499999999,30.0,0.0
61.0,-8.897696499999999,-12.076050799999999,30.0,0.0
62.0,-8.071235659999997,-12.643383999999998,30.0,0.0
63.0,-7.208726409999997,-13.154249199999999,30.0,0.0
64.0,-6.314021589999998,-13.606363299999998,30.0,0.0
65.0,-5.391116619999997,-13.997709299999999,30.0,0.0
66.0,-4.444133759999997,-14.326537099999998,30.0,0.0
67.0,-3.477302309999997,-14.591380099999999,30.0,0.0
68.0,-2.494940279999997,-14.791053799999998,30.0,0.0
69.0,-1.5014353999999974,-14.924667399999999,30.0,0.0
70.0,-0.5012246369999972,-14.991623899999999,30.0,0.0
71.0,0.5012246370000027,-14.991623899999999,30.0,0.0
72.0,1.5014354000000028,-14.924667399999999,30.0,0.0
73.0,2.4949402800000025,-14.791053799999998,30.0,0.0
74.0,3.4773023100000024,-14.591380099999999,30.0,0.0
75.0,4.444133760000002,-14.326537099999998,30.0,0.0
76.0,5.391116620000003,-13.997709299999999,30.0,0.0
77.0,6.314021590000003,-13.606363299999998,30.0,0.0
78.0,7.208726410000002,-13.154249199999999,30.0,0.0
79.0,8.071235660000001,-12.643383999999998,30.0,0.0
80.0,8.897696500000002,-12.076050799999999,30.0,0.0
81.0,9.684417720000003,-11.454782499999999,30.0,0.0
82.0,10.427886000000003,-10.782355299999999,30.0,0.0
83.0,11.124781600000002,-10.061771399999998,30.0,0.0
84.0,11.771990800000001,-9.296248439999998,30.0,0.0
85.0,12.366623900000002,-8.489206309999998,30.0,0.0
86.0,12.906024000000002,-7.644249439999998,30.0,0.0
87.0,13.387782100000003,-6.765151979999997,30.0,0.0
88.0,13.809748600000002,-5.855839249999997,30.0,0.0
89.0,14.170036300000001,-4.920372959999997,30.0,0.0
90.0,15.913740962363102,-4.35922402360445,30.0,1.4999999999999998
91.0,16.169368256224697,-3.2865688542000417,30.0,1.5000000000000002
92.0,16.35277853272892,-2.1992347193670008,30.0,1.5
93.0,16.46315341814043,-1.1020784175449347,30.0,1.5
94.0,15.000000000000002,2.7554552980815448e-15,30.0,0.0
95.0,14.966503100000002,1.0018894700000027,29.0,0.0
96.0,14.866162300000001,1.9993042900000026,29.0,0.0
97.0,14.699425700000003,2.9877898700000025,29.0,0.0
98.0,14.467037200000002,3.9629309200000025,29.0,0.0
99.0,14.170036300000001,4.920372960000003,29.0,0.0
100.0,13.809748600000002,5.8558392500000025,29.0,0.0
101.0,13.387782100000003,6.765151980000002,29.0,0.0
102.0,12.906024000000002,7.644249440000003,29.0,0.0
103.0,12.366623900000002,8.489206310000002,29.0,0.0
104.0,11.771990800000001,9.296248440000001,29.0,0.0
105.0,11.124781600000002,10.061771400000001,29.0,0.0
106.0,10.427886000000003,10.782355300000003,29.0,0.0
107.0,9.684417720000003,11.454782500000002,29.0,0.0
108.0,8.897696500000002,12.076050800000003,29.0,0.0
109.0,8.071235660000001,12.643384000000001,29.0,0.0
110.0,7.208726410000001,13.154249200000002,29.0,0.0
111.0,6.314021590000001,13.606363300000002,29.0,0.0
112.0,5.391116620000001,13.997709300000002,29.0,0.0
113.0,4.444133760000001,14.326537100000001,29.0,0.0
114.0,3.4773023100000007,14.591380100000002,29.0,0.0
115.0,2.4949402800000007,14.791053800000002,29.0,0.0
116.0,1.501435400000001,14.924667400000002,29.0,0.0
117.0,0.5012246370000009,14.991623900000002,29.0,0.0
118.0,-0.5012246369999991,14.991623900000002,29.0,0.0
119.0,-1.5014353999999992,14.924667400000002,29.0,0.0
120.0,-2.494940279999999,14.791053800000002,29.0,0.0
121.0,-3.477302309999999,14.591380100000002,29.0,0.0
122.0,-4.444133759999999,14.326537100000001,29.0,0.0
123.0,-5.391116619999999,13.997709300000002,29.0,0.0
124.0,-6.314021589999999,13.606363300000002,29.0,0.0
125.0,-7.208726409999999,13.154249200000002,29.0,0.0
126.0,-8.071235659999997,12.643384000000001,29.0,0.0
127.0,-8.897696499999999,12.076050800000003,29.0,0.0
128.0,-9.684417719999999,11.454782500000002,29.0,0.0
129.0,-10.427885999999999,10.782355300000003,29.0,0.0
130.0,-11.124781599999999,10.061771400000001,29.0,0.0
131.0,-11.771990799999998,9.296248440000001,29.0,0.0
132.0,-12.366623899999999,8.489206310000002,29.0,0.0
133.0,-12.906023999999999,7.644249440000001,29.0,0.0
134.0,-13.387782099999999,6.765151980000001,29.0,0.0
135.0,-13.809748599999999,5.855839250000001,29.0,0.0
136.0,-14.170036299999998,4.920372960000001,29.0,0.0
137.0,-14.467037199999998,3.9629309200000007,29.0,0.0
